Listening on COM8 at 115200 baud (8E1)...
COBS Decode Error
Accel: X=    60 Y=  -640 Z= 18540 | Gyro: X=  -272 Y=  -669 Z=   -87 | Temp:  35.0 °C
Accel: X=    20 Y=  -652 Z= 18500 | Gyro: X=  -252 Y=  -652 Z=   -63 | Temp:  35.0 °C
Accel: X=     4 Y=  -708 Z= 18548 | Gyro: X=  -229 Y=  -651 Z=  -106 | Temp:  35.2 °C
Accel: X=   128 Y=  -648 Z= 18396 | Gyro: X=  -242 Y=  -636 Z=   -67 | Temp:  35.1 °C
Accel: X=   148 Y=  -684 Z= 18308 | Gyro: X=  -247 Y=  -652 Z=   -95 | Temp:  35.1 °C
Accel: X=    48 Y=  -736 Z= 18448 | Gyro: X=  -238 Y=  -698 Z=   -75 | Temp:  35.1 °C
Accel: X=    80 Y=  -688 Z= 18340 | Gyro: X=  -230 Y=  -651 Z=   -82 | Temp:  35.1 °C
Accel: X=   136 Y=  -688 Z= 18496 | Gyro: X=  -258 Y=  -661 Z=   -79 | Temp:  35.1 °C
Accel: X=   140 Y=  -800 Z= 18400 | Gyro: X=  -237 Y=  -704 Z=  -109 | Temp:  35.1 °C
Accel: X=    48 Y=  -820 Z= 18360 | Gyro: X=  -254 Y=  -660 Z=  -107 | Temp:  35.1 °C
Accel: X=   120 Y=  -680 Z= 18364 | Gyro: X=  -236 Y=  -648 Z=   -75 | Temp:  35.1 °C
Accel: X=    64 Y=  -752 Z= 18388 | Gyro: X=  -249 Y=  -666 Z=  -100 | Temp:  35.0 °C
Accel: X=    24 Y=  -672 Z= 18328 | Gyro: X=  -254 Y=  -680 Z=   -94 | Temp:  35.1 °C
Accel: X=   132 Y=  -548 Z= 18424 | Gyro: X=  -249 Y=  -649 Z=  -106 | Temp:  35.0 °C
Accel: X=   120 Y=  -592 Z= 18308 | Gyro: X=  -273 Y=  -660 Z=   -96 | Temp:  35.0 °C
Accel: X=    92 Y=  -764 Z= 18480 | Gyro: X=  -252 Y=  -668 Z=   -54 | Temp:  35.0 °C
Accel: X=   232 Y=  -760 Z= 18468 | Gyro: X=  -234 Y=  -670 Z=   -67 | Temp:  35.1 °C
Accel: X=   148 Y=  -764 Z= 18336 | Gyro: X=  -266 Y=  -673 Z=   -65 | Temp:  35.0 °C
Accel: X=    80 Y=  -824 Z= 18392 | Gyro: X=  -243 Y=  -667 Z=   -75 | Temp:  35.1 °C
Accel: X=   188 Y=  -692 Z= 18344 | Gyro: X=  -213 Y=  -665 Z=   -99 | Temp:  35.0 °C
Accel: X=   124 Y=  -716 Z= 18368 | Gyro: X=  -236 Y=  -661 Z=   -85 | Temp:  35.1 °C
Accel: X=    72 Y=  -624 Z= 18320 | Gyro: X=  -267 Y=  -636 Z=  -101 | Temp:  35.0 °C
